bitch_count,ho_count,name.href,name.text,overall_count,pussy_count
6,3,http://www.misogynystats.com/rappers/9,Drake,11,2
9,2,http://www.misogynystats.com/rappers/31,Talib Kweli,11,0
7,0,http://www.misogynystats.com/rappers/104,Aesop Rock,11,4
5,3,http://www.misogynystats.com/rappers/109,Macklemore and Ryan Lewis,11,3
7,1,http://www.misogynystats.com/rappers/15,El-P,10,2
4,6,http://www.misogynystats.com/rappers/57,Hieroglyphics,10,0
2,8,http://www.misogynystats.com/rappers/102,A Tribe Called Quest,10,0
3,6,http://www.misogynystats.com/rappers/83,KRS-ONE,9,0
2,5,http://www.misogynystats.com/rappers/32,Yasiin Bey,8,1
3,3,http://www.misogynystats.com/rappers/111,Aceyalone,7,1
4,1,http://www.misogynystats.com/rappers/33,De La Soul,5,0
4,1,http://www.misogynystats.com/rappers/68,Ted Roe,5,0
2,2,http://www.misogynystats.com/rappers/107,MTV,5,1
3,0,http://www.misogynystats.com/rappers/34,Black Star,4,1
1,2,http://www.misogynystats.com/rappers/47,Tyler Luke,4,1
3,0,http://www.misogynystats.com/rappers/129,Abdallah,3,0
2,0,http://www.misogynystats.com/rappers/136,Cannibal Ox,3,1
2,0,http://www.misogynystats.com/rappers/72,Fugees,2,0
1,1,http://www.misogynystats.com/rappers/85,Vanilla Ice,2,0
0,1,http://www.misogynystats.com/rappers/88,Will Smith,2,1
0,2,http://www.misogynystats.com/rappers/125,Deltron 3030,2,0
0,1,http://www.misogynystats.com/rappers/89,Soprano,1,0
1,0,http://www.misogynystats.com/rappers/97,Kool Keith,1,0
0,1,http://www.misogynystats.com/rappers/124,Gorillaz,1,0
0,0,http://www.misogynystats.com/rappers/93,Ninja Sex Party,0,0
0,0,http://www.misogynystats.com/rappers/106,Taylor Swift,0,0
0,0,http://www.misogynystats.com/rappers/112,Saul Williams,0,0
0,0,http://www.misogynystats.com/rappers/126,MC Solaar,0,0
